Year,Amount,Type of good
,,"Chemicals, chemical products, and man-made fibers; rubber and plastic products ; nuclear fuel"
2016,"61,292","Chemicals, chemical products, and man-made fibers; rubber and plastic products ; nuclear fuel"
,,"Chemicals, chemical products, and man-made fibers; rubber and plastic products ; nuclear fuel"
2017,"66,774","Chemicals, chemical products, and man-made fibers; rubber and plastic products ; nuclear fuel"
,,"Chemicals, chemical products, and man-made fibers; rubber and plastic products ; nuclear fuel"
2018,"65,743","Chemicals, chemical products, and man-made fibers; rubber and plastic products ; nuclear fuel"
,,"Chemicals, chemical products, and man-made fibers; rubber and plastic products ; nuclear fuel"
2019,"64,506","Chemicals, chemical products, and man-made fibers; rubber and plastic products ; nuclear fuel"
,,"Chemicals, chemical products, and man-made fibers; rubber and plastic products ; nuclear fuel"
2020,"64,878","Chemicals, chemical products, and man-made fibers; rubber and plastic products ; nuclear fuel"
,,"Chemicals, chemical products, and man-made fibers; rubber and plastic products ; nuclear fuel"
2021,"61,769","Chemicals, chemical products, and man-made fibers; rubber and plastic products ; nuclear fuel"
,,"Chemicals, chemical products, and man-made fibers; rubber and plastic products ; nuclear fuel"
2022,"62,305","Chemicals, chemical products, and man-made fibers; rubber and plastic products ; nuclear fuel"
,,"Chemicals, chemical products, and man-made fibers; rubber and plastic products ; nuclear fuel"
2008,"96,883",Other non metallic mineral products
,,Other non metallic mineral products
2009,"94,773",Other non metallic mineral products
,,Other non metallic mineral products
2010,"70,153",Other non metallic mineral products
,,Other non metallic mineral products
2011,"72,395",Other non metallic mineral products
,,Other non metallic mineral products
2012,"54,654",Other non metallic mineral products
,,Other non metallic mineral products
2013,"66,010",Other non metallic mineral products
,,Other non metallic mineral products
2014,"60,728",Other non metallic mineral products
,,Other non metallic mineral products
2015,"60,686",Other non metallic mineral products
,,Other non metallic mineral products
2016,"62,077",Other non metallic mineral products
,,Other non metallic mineral products
2017,"68,852",Other non metallic mineral products
,,Other non metallic mineral products
2018,"70,898",Other non metallic mineral products
,,Other non metallic mineral products
2019,"75,480",Other non metallic mineral products
,,Other non metallic mineral products
2020,"69,203",Other non metallic mineral products
,,Other non metallic mineral products
2021,"68,295",Other non metallic mineral products
,,Other non metallic mineral products
2022,"75,980",Other non metallic mineral products
,,Other non metallic mineral products
2008,"30,167","Basic metals; fabricated metal products, except machinery and equipment"
,,"Basic metals; fabricated metal products, except machinery and equipment"
2009,"25,759","Basic metals; fabricated metal products, except machinery and equipment"
,,"Basic metals; fabricated metal products, except machinery and equipment"
2010,"28,521","Basic metals; fabricated metal products, except machinery and equipment"
,,"Basic metals; fabricated metal products, except machinery and equipment"
2011,"30,068","Basic metals; fabricated metal products, except machinery and equipment"
,,"Basic metals; fabricated metal products, except machinery and equipment"
2012,"26,983","Basic metals; fabricated metal products, except machinery and equipment"
,,"Basic metals; fabricated metal products, except machinery and equipment"
2013,"26,950","Basic metals; fabricated metal products, except machinery and equipment"
,,"Basic metals; fabricated metal products, except machinery and equipment"
2014,"27,542","Basic metals; fabricated metal products, except machinery and equipment"
,,"Basic metals; fabricated metal products, except machinery and equipment"
2015,"24,904","Basic metals; fabricated metal products, except machinery and equipment"
,,"Basic metals; fabricated metal products, except machinery and equipment"
2016,"25,097","Basic metals; fabricated metal products, except machinery and equipment"
,,"Basic metals; fabricated metal products, except machinery and equipment"
2017,"24,397","Basic metals; fabricated metal products, except machinery and equipment"
,,"Basic metals; fabricated metal products, except machinery and equipment"
2018,"26,202","Basic metals; fabricated metal products, except machinery and equipment"
,,"Basic metals; fabricated metal products, except machinery and equipment"
2019,"22,845","Basic metals; fabricated metal products, except machinery and equipment"
